sale_id,product_id,salesman_id,customer_id,sale_date,commission_ratio
1,173,1123,1,1990-01-01,0.593004053
2,101,77,2,1990-01-02,0.777078067
3,110,239,2,1990-01-03,0.016819403
4,30,1053,2,1990-01-04,0.613145388
5,20,1179,2,1990-01-05,0.654120609
6,125,50,3,1990-01-06,0.531187928
7,156,464,4,1990-01-07,0.086097217
8,24,730,4,1990-01-08,0.713239369
9,181,728,4,1990-01-09,0.647512914
10,194,419,4,1990-01-10,0.634301212
11,178,270,4,1990-01-11,0.481365048
12,193,766,5,1990-01-12,0.123042244
13,2,1126,5,1990-01-13,0.592966363
14,44,81,5,1990-01-14,0.05258711
15,29,993,6,1990-01-15,0.203501753
16,133,334,6,1990-01-16,0.643390151
17,167,1037,6,1990-01-17,0.28035017
18,81,981,6,1990-01-18,0.768750887
19,93,1199,6,1990-01-19,0.970164928
20,140,92,7,1990-01-20,0.605743179
21,83,1013,7,1990-01-21,0.803333143
22,81,880,8,1990-01-22,0.918791661
23,17,838,8,1990-01-23,0.999734468
24,46,608,8,1990-01-24,0.18391777
25,175,624,8,1990-01-25,0.361268652
26,59,131,9,1990-01-26,0.416126693
27,25,672,9,1990-01-27,0.37066919
28,168,1200,9,1990-01-28,0.381810895
29,97,564,9,1990-01-29,0.755598605
30,173,1019,10,1990-01-30,0.034881648
31,36,623,11,1990-01-31,0.427670675
32,151,610,11,1990-02-01,0.630057956
33,148,335,12,1990-02-02,0.050420043
34,37,46,13,1990-02-03,0.499969821
35,140,619,13,1990-02-04,0.886681923
36,128,902,14,1990-02-05,0.352331047
37,38,1143,14,1990-02-06,0.235226006
38,186,1193,14,1990-02-07,0.982120545
39,194,571,14,1990-02-08,0.124420747
40,36,390,15,1990-02-09,0.562437205
41,148,670,15,1990-02-10,0.33900595
42,24,314,15,1990-02-11,0.723602196
43,133,758,15,1990-02-12,0.710059492
44,62,367,15,1990-02-13,0.703923671
45,186,593,16,1990-02-14,0.630250016
46,111,119,16,1990-02-15,0.834759527
47,52,284,17,1990-02-16,0.728597291
48,180,279,17,1990-02-17,0.151606879
49,22,998,18,1990-02-18,0.561714139
50,82,710,18,1990-02-19,0.96973957
51,117,462,18,1990-02-20,0.973589416
52,180,1112,18,1990-02-21,0.616875772
53,51,983,18,1990-02-22,0.075793878
54,83,22,19,1990-02-23,0.40228061
55,36,66,19,1990-02-24,0.274491667
56,15,443,19,1990-02-25,0.423127479
57,104,126,20,1990-02-26,0.718176542
58,44,892,20,1990-02-27,0.019983441
59,88,219,20,1990-02-28,0.400676298
60,3,653,20,1990-03-01,0.847032351
61,59,683,20,1990-03-02,0.687109529
62,86,38,21,1990-03-03,0.163655162
63,93,748,21,1990-03-04,0.326435004
64,161,478,21,1990-03-05,0.367182085
65,99,238,21,1990-03-06,0.590535126
66,16,425,21,1990-03-07,0.157945484
67,130,565,22,1990-03-08,0.51946299
68,183,402,22,1990-03-09,0.435189206
69,129,937,22,1990-03-10,0.359095608
70,47,1185,22,1990-03-11,0.443787913
71,63,632,22,1990-03-12,0.541409322
72,18,497,23,1990-03-13,0.626782804
73,147,709,23,1990-03-14,0.792459139
74,173,374,23,1990-03-15,0.865697436
75,132,476,23,1990-03-16,0.781882963
76,25,915,23,1990-03-17,0.493389523
77,132,575,24,1990-03-18,0.801794603
78,178,373,25,1990-03-19,0.69900314
79,144,412,25,1990-03-20,0.30242052
80,173,158,26,1990-03-21,0.289225322
81,198,21,26,1990-03-22,0.557046675
82,116,198,26,1990-03-23,0.596286488
83,3,1156,27,1990-03-24,0.541711236
84,130,219,27,1990-03-25,0.01243924
85,148,557,28,1990-03-26,0.661649673
86,13,682,28,1990-03-27,0.243330166
87,11,609,29,1990-03-28,0.424273871
88,139,635,29,1990-03-29,0.871707317
89,83,391,30,1990-03-30,0.698638158
90,22,664,30,1990-03-31,0.752901113
91,147,1154,30,1990-04-01,0.589321442
92,6,401,30,1990-04-02,0.937878596
93,54,290,31,1990-04-03,0.229149087
94,10,757,32,1990-04-04,0.729512024
95,137,752,32,1990-04-05,0.701803954
96,140,626,32,1990-04-06,0.047770706
97,182,659,33,1990-04-07,0.776869263
98,37,600,33,1990-04-08,0.99178361
99,4,1001,33,1990-04-09,0.127313466
100,2,133,34,1990-04-10,0.815204239
101,102,220,34,1990-04-11,0.968112437
102,192,1096,35,1990-04-12,0.876830589
103,160,503,35,1990-04-13,0.581797709
104,200,942,36,1990-04-14,0.962788103
105,138,192,36,1990-04-15,0.463019572
106,165,167,36,1990-04-16,0.691760116
107,183,50,36,1990-04-17,0.374270099
108,63,478,37,1990-04-18,0.704179745
109,96,140,37,1990-04-19,0.441757322
110,64,616,38,1990-04-20,0.730730763
111,92,79,38,1990-04-21,0.040956703
112,5,188,38,1990-04-22,0.269599465
113,17,1090,39,1990-04-23,0.526181348
114,155,455,40,1990-04-24,0.413348644
115,180,706,40,1990-04-25,0.661357119
116,21,528,40,1990-04-26,0.070878748
117,138,1150,41,1990-04-27,0.012537978
118,19,1119,42,1990-04-28,0.162632958
119,25,395,42,1990-04-29,0.534237395
120,137,703,42,1990-04-30,0.974264267
121,117,707,43,1990-05-01,0.010961991
122,37,313,44,1990-05-02,0.135158466
123,1,486,44,1990-05-03,0.681228772
124,30,952,44,1990-05-04,0.700625173
125,92,336,44,1990-05-05,0.947245887
126,152,540,44,1990-05-06,0.23016046
127,72,1115,45,1990-05-07,0.925340519
128,52,210,45,1990-05-08,0.652569475
129,141,607,46,1990-05-09,0.203291104
130,168,209,46,1990-05-10,0.61876272
131,33,977,46,1990-05-11,0.712378323
132,27,211,46,1990-05-12,0.748653884
133,144,696,47,1990-05-13,0.118601819
134,120,599,47,1990-05-14,0.745528618
135,53,87,47,1990-05-15,0.113375661
136,183,134,47,1990-05-16,0.177034631
137,142,834,47,1990-05-17,0.107504513
138,2,937,48,1990-05-18,0.19457779
139,15,1113,48,1990-05-19,0.689280329
